name,date,Green,Red,NIR,SWIR,
13,2015/8/20,0.1486725,0.16694625,0.34803375,0.30015625,
13,2015/8/21,0.138046046,0.164909635,0.327763456,0.236281176,
13,2015/8/22,0.106712199,0.138839504,0.264990013,0.21167986,
13,2015/8/23,0.16174297,0.204014833,0.346128027,0.25623675,
13,2015/8/24,0.147030662,0.17873814,0.31590996,0.247578776,
13,2015/8/25,0.16393297,0.194380219,0.326761752,0.240583767,
13,2015/8/26,0.11884143,0.146320498,0.276342657,0.218701266,
13,2015/8/27,0.1948175,0.22504,0.356765,0.317055,
13,2015/8/28,0.141976816,0.18157185,0.287584,0.221868817,
13,2015/8/29,0.181621432,0.201464494,0.292870771,0.209726537,
13,2015/8/30,0.684422987,0.69027946,0.675243403,0.23364155,
13,2015/8/31,0.889609148,0.882178298,0.854548399,0.305386589,
13,2015/9/1,0.21778451,0.226571164,0.289921309,0.195894896,
13,2015/9/2,0.840193762,0.846813598,0.839522841,0.209409782,
13,2015/9/3,0.149501431,0.190413025,0.320306327,0.254811352,
13,2015/9/4,0.315604514,0.318780086,0.361710088,0.28102284,
13,2015/9/5,0.14412125,0.1660525,0.326515,0.28929375,
13,2015/9/6,0.266862974,0.279051472,0.351581748,0.239976653,
13,2015/9/7,0.377486054,0.377041162,0.406675462,0.178394174,
13,2015/9/8,0.110137584,0.142353304,0.247293244,0.221684044,
13,2015/9/9,0.136024508,0.172844023,0.286582296,0.236333969,
13,2015/9/10,0.158373739,0.199594245,0.320640228,0.256342335,
13,2015/9/11,0.119739892,0.15470828,0.24874015,0.219070814,
13,2015/9/12,0.1370675,0.15794,0.294615,0.2837525,
13,2015/9/13,0.123109123,0.156691876,0.249797504,0.228811034,
13,2015/9/14,0.532021444,0.549670773,0.55576239,0.243513752,
13,2015/9/15,0.31554836,0.327734609,0.376846946,0.25277884,
13,2015/9/16,0.12322143,0.160715745,0.249185351,0.226567352,
13,2015/9/17,0.151859893,0.198347413,0.30294346,0.254283427,
13,2015/9/18,0.104129122,0.134305568,0.221916746,0.209198612,
13,2015/9/19,0.250971435,0.282111879,0.356924169,0.244200055,
13,2015/9/20,0.787746068,0.793313154,0.759720431,0.191249154,
13,2015/9/21,0.130165,0.15322375,0.292855,0.26836625,
13,2015/9/22,0.138158354,0.183385424,0.281351176,0.252224518,
13,2015/9/23,0.113562969,0.15187457,0.233603291,0.22778158,
13,2015/9/24,0.108116045,0.142353304,0.220748091,0.221552062,
13,2015/9/25,0.061564505,0.089419602,0.132319898,0.157303561,
13,2015/9/26,0.433415287,0.477977911,0.574906064,0.381487012,
13,2015/9/27,0.103567584,0.136742558,0.206334685,0.211943823,
13,2015/9/28,0.846932223,0.850780792,0.821547821,0.245387887,
13,2015/9/29,0.873605301,0.87571744,0.831175308,0.194152743,
13,2015/9/30,0.081386814,0.111635888,0.175782717,0.195525348,
13,2015/10/1,0.1373722,0.175451036,0.247404544,0.224350066,
13,2015/10/2,0.203072202,0.238586094,0.307506777,0.256500713,
13,2015/10/3,0.123109123,0.166156468,0.238166609,0.233905513,
13,2015/10/4,0.092449122,0.127958058,0.179399981,0.201649281,
13,2015/10/5,0.143998354,0.190866418,0.268774227,0.253069199,
13,2015/10/6,0.115696815,0.15538837,0.213680514,0.21753983,
13,2015/10/7,0.13625625,0.1718825,0.2604325,0.28037,
13,2015/10/8,0.108902199,0.146603869,0.206334685,0.218278926,
13,2015/10/9,0.08863066,0.1285248,0.193869037,0.207562044,
13,2015/10/10,0.133441431,0.17590443,0.248517549,0.236967479,
13,2015/10/11,0.105926045,0.143486788,0.199322758,0.216642358,
13,2015/10/12,0.181452971,0.233712113,0.317468166,0.283504089,
13,2015/10/13,0.109295276,0.145753756,0.202661771,0.21062401,
13,2015/10/14,0.156913739,0.193020038,0.239724815,0.219229191,
13,2015/10/15,0.663702217,0.669593378,0.660384796,0.300503281,
13,2015/10/16,0.122154507,0.160205677,0.237220555,0.241190881,
13,2015/10/17,0.769776836,0.775630804,0.744806173,0.216615961,
